name,geo,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,"World bank, 4 income groups 2017",adjective,adjective_plural
Liberia,lbr,africa,africa_sub_saharan,sub_saharan_africa,g77,6.5,-9.5,2/11/1945,Sub-Saharan Africa,Low income,Liberian,Liberians
Libya,lby,africa,africa_north,middle_east_north_africa,g77,28,17,14/12/1955,Middle East & North Africa,Upper middle income,Libyan,Libyans
Liechtenstein,lie,europe,europe_west,europe_central_asia,others,47.16667,9.53333,18/9/1990,Europe & Central Asia,High income,Liechtensteiner,Liechtensteiners
Lithuania,ltu,europe,europe_east,europe_central_asia,others,55.41667,24,17/9/1991,Europe & Central Asia,High income,Lithuanian,Lithuanians
Luxembourg,lux,europe,europe_west,europe_central_asia,oecd,49.61167,6.13,24/10/1945,Europe & Central Asia,High income,"Luxembourg, Luxembourgish",Luxembourgers
"Macedonia, FYR",mkd,europe,europe_east,europe_central_asia,others,41.66667,21.75,8/4/1993,Europe & Central Asia,Upper middle income,Macedonian,Macedonian
Madagascar,mdg,africa,africa_sub_saharan,sub_saharan_africa,g77,-20,47,20/9/1960,Sub-Saharan Africa,Low income,Malagasy,Malagasy
Malawi,mwi,africa,africa_sub_saharan,sub_saharan_africa,g77,-13.5,34,1/12/1964,Sub-Saharan Africa,Low income,Malawian,Malawians
Malaysia,mys,asia,east_asia_pacific,east_asia_pacific,g77,2.5,112.5,17/9/1957,East Asia & Pacific,Upper middle income,Malaysian,Malaysians
Maldives,mdv,asia,asia_west,south_asia,g77,3.2,73,21/9/1965,South Asia,Upper middle income,Maldivian,Maldivians
Mali,mli,africa,africa_sub_saharan,sub_saharan_africa,g77,18,-2,28/9/1960,Sub-Saharan Africa,Low income,"Malian, Malinese",Malians
Malta,mlt,europe,europe_west,europe_central_asia,others,35.91667,14.43333,1/12/1964,Middle East & North Africa,High income,Maltese,Maltese
Marshall Islands,mhl,asia,east_asia_pacific,east_asia_pacific,g77,7.113,171.236,17/9/1991,East Asia & Pacific,Upper middle income,Marshallese,Marshallese
Mauritania,mrt,africa,africa_sub_saharan,sub_saharan_africa,g77,20.25,-10.5,27/10/1961,Sub-Saharan Africa,Lower middle income,Mauritanian,Mauritanians
Mauritius,mus,africa,africa_sub_saharan,sub_saharan_africa,g77,-20.3,57.58333,24/4/1968,Sub-Saharan Africa,Upper middle income,Mauritian,Mauritians
Mexico,mex,americas,america_north,america,oecd,19.42847,-99.12766,7/11/1945,Latin America & Caribbean,Upper middle income,Mexican,Mexicans
"Micronesia, Fed. Sts.",fsm,asia,east_asia_pacific,east_asia_pacific,g77,6.924,158.162,17/9/1991,East Asia & Pacific,Lower middle income,Micronesian,Micronesians
Moldova,mda,europe,europe_east,europe_central_asia,others,47.25,28.58333,2/3/1992,Europe & Central Asia,Lower middle income,Moldovan,Moldovans
Monaco,mco,europe,europe_west,europe_central_asia,others,43.73333,7.41667,28/5/1993,Europe & Central Asia,High income,Monacan,"Monégasques, Monacans"
Mongolia,mng,asia,east_asia_pacific,east_asia_pacific,g77,46,105,27/10/1961,East Asia & Pacific,Lower middle income,Mongolian,"Mongolians, Mongols"
Montenegro,mne,europe,europe_east,europe_central_asia,others,42.75,19.25,28/6/2006,Europe & Central Asia,Upper middle income,Montenegrin,Montenegrins
Morocco,mar,africa,africa_north,middle_east_north_africa,g77,32,-6,12/11/1956,Middle East & North Africa,Lower middle income,Moroccan,Moroccans
Mozambique,moz,africa,africa_sub_saharan,sub_saharan_africa,g77,-18.25,35,16/9/1975,Sub-Saharan Africa,Low income,Mozambican,Mozambicans
Myanmar,mmr,asia,east_asia_pacific,east_asia_pacific,g77,21,96,19/4/1948,East Asia & Pacific,Lower middle income,"Myanma, Burmese",Myanmars
Namibia,nam,africa,africa_sub_saharan,sub_saharan_africa,g77,-22,17,23/4/1990,Sub-Saharan Africa,Upper middle income,Namibian,Namibians
Nauru,nru,asia,east_asia_pacific,east_asia_pacific,others,-0.517,166.933,14/9/1999,East Asia & Pacific,Upper middle income,Nauruan,Nauruans
Nepal,npl,asia,asia_west,south_asia,g77,28,84,14/12/1955,South Asia,Low income,"Nepali, Nepalese","Nepali, Nepalese"
Netherlands,nld,europe,europe_west,europe_central_asia,oecd,52.25,5.75,10/12/1945,Europe & Central Asia,High income,"Dutch, Netherlandic","Dutch, Dutchmen/Dutchwomen, Netherlanders"
New Zealand,nzl,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income,"New Zealand, New Zealandic",New Zealanders
Nicaragua,nic,americas,america_north,america,g77,13,-85,24/10/1945,Latin America & Caribbean,Lower middle income,Nicaraguan,Nicaraguans
Niger,ner,africa,africa_sub_saharan,sub_saharan_africa,g77,18,9,20/9/1960,Sub-Saharan Africa,Low income,Nigerien,Nigeriens
Nigeria,nga,africa,africa_sub_saharan,sub_saharan_africa,g77,10,8,7/10/1960,Sub-Saharan Africa,Lower middle income,Nigerian,Nigerians
Norway,nor,europe,europe_west,europe_central_asia,oecd,62,10,27/11/1945,Europe & Central Asia,High income,Norwegian,Norwegians
Oman,omn,asia,asia_west,middle_east_north_africa,g77,21,57,7/10/1971,Middle East & North Africa,High income,Omani,Omanis
Pakistan,pak,asia,asia_west,south_asia,g77,30,70,30/9/1947,South Asia,Lower middle income,Pakistani,Pakistanis
Palau,plw,asia,east_asia_pacific,east_asia_pacific,others,7.503,134.621,15/12/1994,East Asia & Pacific,High income,Palauan,Palauans
Panama,pan,americas,america_north,america,g77,8.9936,-79.51973,13/11/1945,Latin America & Caribbean,Upper middle income,Panamanian,Panamanians
Papua New Guinea,png,asia,east_asia_pacific,east_asia_pacific,g77,-6,147,10/10/1975,East Asia & Pacific,Lower middle income,"Papua New Guinean, Papuan","Papua New Guineans, Papuans"
Paraguay,pry,americas,america_south,america,g77,-23.33333,-58,24/10/1945,Latin America & Caribbean,Upper middle income,Paraguayan,Paraguayans
Peru,per,americas,america_south,america,g77,-10,-75.25,31/10/1945,Latin America & Caribbean,Upper middle income,Peruvian,Peruvians
Philippines,phl,asia,east_asia_pacific,east_asia_pacific,g77,13,122,24/10/1945,East Asia & Pacific,Lower middle income,"Filipino, Philippine",Filipinos/Filipinas
Poland,pol,europe,europe_west,europe_central_asia,oecd,52,20,24/10/1945,Europe & Central Asia,High income,Polish,Poles
Portugal,prt,europe,europe_west,europe_central_asia,oecd,39.6945,-8.13057,14/12/1955,Europe & Central Asia,High income,Portuguese,Portuguese
Qatar,qat,asia,asia_west,middle_east_north_africa,g77,25.27932,51.52245,21/9/1971,Middle East & North Africa,High income,Qatari,Qataris
Romania,rou,europe,europe_east,europe_central_asia,others,46,25,14/12/1955,Europe & Central Asia,Upper middle income,Romanian,Romanians
Russia,rus,europe,europe_east,europe_central_asia,others,60,100,24/10/1945,Europe & Central Asia,Upper middle income,Russian,Russians
Rwanda,rwa,africa,africa_sub_saharan,sub_saharan_africa,g77,-2,30,18/9/1962,Sub-Saharan Africa,Low income,Rwandan,"Rwandans, Banyarwanda"
St. Kitts and Nevis,kna,americas,america_north,america,g77,17.33333,-62.75,23/9/1983,Latin America & Caribbean,High income,Kittitian,Kittitians
St. Lucia,lca,americas,america_north,america,g77,13.88333,-60.96667,18/9/1979,Latin America & Caribbean,Upper middle income,Saint Lucian,Saint Lucians
St. Vincent and the Grenadines,vct,americas,america_north,america,g77,13.08333,-61.2,16/9/1980,Latin America & Caribbean,Upper middle income,"Saint Vincentian, Vincentian", "Saint Vincentians or Vincentians"
Samoa,wsm,asia,east_asia_pacific,east_asia_pacific,g77,-13.8,-172.13333,15/12/1976,East Asia & Pacific,Upper middle income,Samoan,Samoans
San Marino,smr,europe,europe_west,europe_central_asia,others,43.93667,12.44639,2/3/1992,Europe & Central Asia,High income,Sammarinese,Sammarinese
Sao Tome and Principe,stp,africa,africa_sub_saharan,sub_saharan_africa,g77,1,7,16/9/1975,Sub-Saharan Africa,Lower middle income,Sao Tomean,Sao Tomeans
Saudi Arabia,sau,asia,asia_west,middle_east_north_africa,g77,25,45,24/10/1945,Middle East & North Africa,High income,"Saudi, Saudi Arabian","Saudis, Saudi Arabians"
Senegal,sen,africa,africa_sub_saharan,sub_saharan_africa,g77,14.5,-14.25,28/9/1960,Sub-Saharan Africa,Low income,Senegalese,Senegalese
Serbia,srb,europe,europe_east,europe_central_asia,others,44.81892,20.45998,1/11/2000,Europe & Central Asia,Upper middle income,Serbian,"Serbs, Serbians"
Seychelles,syc,africa,africa_sub_saharan,sub_saharan_africa,g77,-4.58333,55.66667,21/9/1976,Sub-Saharan Africa,High income,Seychellois,Seychellois/Seychelloises
Sierra Leone,sle,africa,africa_sub_saharan,sub_saharan_africa,g77,8.5,-11.5,27/9/1961,Sub-Saharan Africa,Low income,Sierra Leonean,Sierra Leoneans
Singapore,sgp,asia,east_asia_pacific,east_asia_pacific,g77,1.28967,103.85007,21/9/1965,East Asia & Pacific,High income,"Singapore, Singaporean",Singaporeans
Slovak Republic,svk,europe,europe_east,europe_central_asia,oecd,48.66667,19.5,19/1/1993,Europe & Central Asia,High income,Slovak,Slovaks
Slovenia,svn,europe,europe_east,europe_central_asia,others,46.08333,15,22/5/1992,Europe & Central Asia,High income,"Slovenian, Slovene","Slovenes, Slovenians"
Solomon Islands,slb,asia,east_asia_pacific,east_asia_pacific,g77,-8,159,19/9/1978,East Asia & Pacific,Lower middle income,Solomon Island,Solomon Islanders
Somalia,som,africa,africa_sub_saharan,sub_saharan_africa,g77,6,48,20/9/1960,Sub-Saharan Africa,Low income,Somali,Somalis
South Africa,zaf,africa,africa_sub_saharan,sub_saharan_africa,g77,-29,24,7/11/1945,Sub-Saharan Africa,Upper middle income,South African,South Africans
Spain,esp,europe,europe_west,europe_central_asia,oecd,40,-4,14/12/1955,Europe & Central Asia,High income,Spanish,Spaniards
Sri Lanka,lka,asia,asia_west,south_asia,g77,7.75,80.75,14/12/1955,South Asia,Lower middle income,Sri Lankan,Sri Lankans
Sudan,sdn,africa,africa_sub_saharan,sub_saharan_africa,g77,16,30,12/11/1956,Sub-Saharan Africa,Lower middle income,Sudanese,Sudanese
Suriname,sur,americas,america_south,america,g77,4,-56,4/12/1975,Latin America & Caribbean,Upper middle income,Surinamese,Surinamers
Swaziland,swz,africa,africa_sub_saharan,sub_saharan_africa,g77,-26.5,31.5,24/9/1968,Sub-Saharan Africa,Lower middle income,"Swazi, Swati",Swazis
Sweden,swe,europe,europe_west,europe_central_asia,oecd,62,15,19/11/1946,Europe & Central Asia,High income,Swedish,Swedes
Switzerland,che,europe,europe_west,europe_central_asia,oecd,47.00016,8.01427,10/9/2002,Europe & Central Asia,High income,Swiss,Swiss
Syria,syr,asia,asia_west,middle_east_north_africa,g77,35,38,24/10/1945,Middle East & North Africa,Lower middle income,Syrian,Syrians
Taiwan,twn,asia,east_asia_pacific,east_asia_pacific,others,24,121,,East Asia & Pacific,High income,Taiwanese,Taiwanese
Tajikistan,tjk,asia,asia_west,europe_central_asia,others,39,71,2/3/1992,Europe & Central Asia,Lower middle income,Tajikistani,"Tajikistanis, Tajiks"
Tanzania,tza,africa,africa_sub_saharan,sub_saharan_africa,g77,-6,35,14/12/1961,Sub-Saharan Africa,Low income,Tanzanian,Tanzanians
Thailand,tha,asia,east_asia_pacific,east_asia_pacific,g77,15.5,101,16/12/1946,East Asia & Pacific,Upper middle income,Thai,Thai
Timor-Leste,tls,asia,east_asia_pacific,east_asia_pacific,g77,-8.83333,125.75,27/9/2002,East Asia & Pacific,Lower middle income,Timorese,Timorese
Togo,tgo,africa,africa_sub_saharan,sub_saharan_africa,g77,8.66667,1.08333,20/9/1960,Sub-Saharan Africa,Low income,Togolese,Togolese
Tonga,ton,asia,east_asia_pacific,east_asia_pacific,g77,-20,-175,14/9/1999,East Asia & Pacific,Upper middle income,Tongan,Tongans
Trinidad and Tobago,tto,americas,america_north,america,g77,11,-61,18/9/1962,Latin America & Caribbean,High income,"Trinidadian, Tobagonian","Trinidadians, Tobagonians"
Tunisia,tun,africa,africa_north,middle_east_north_africa,g77,34,9,12/11/1956,Middle East & North Africa,Lower middle income,Tunisian,Tunisians
Turkey,tur,europe,europe_east,europe_central_asia,oecd,39,35,24/10/1945,Europe & Central Asia,Upper middle income,Turkish,Turks
Turkmenistan,tkm,asia,asia_west,europe_central_asia,g77,39.75,59.66667,2/3/1992,Europe & Central Asia,Upper middle income,Turkmen,Turkmens
Tuvalu,tuv,asia,east_asia_pacific,east_asia_pacific,others,-8.51719,179.14478,5/9/2000,East Asia & Pacific,Upper middle income,Tuvaluan,Tuvaluans
Uganda,uga,africa,africa_sub_saharan,sub_saharan_africa,g77,1.25,32.5,25/10/1962,Sub-Saharan Africa,Low income,Ugandan,Ugandans
Ukraine,ukr,europe,europe_east,europe_central_asia,others,49,32,24/10/1945,Europe & Central Asia,Lower middle income,Ukrainian,Ukrainians
United Arab Emirates,are,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,9/12/1971,Middle East & North Africa,High income,"Emirati, Emirian, Emiri","Emiratis, Emirians, Emiri"
United Kingdom,gbr,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income,British,British
United States,usa,americas,america_north,america,oecd,39.76,-98.5,24/10/1945,North America,High income,American,Americans
Uruguay,ury,americas,america_south,america,g77,-33,-56,18/12/1945,Latin America & Caribbean,High income,Uruguayan,Uruguayans
Uzbekistan,uzb,asia,asia_west,europe_central_asia,others,41.66667,63.83333,2/3/1992,Europe & Central Asia,Lower middle income,"Uzbekistani, Uzbek","Uzbekistanis, Uzbeks"
Vanuatu,vut,asia,east_asia_pacific,east_asia_pacific,g77,-16,167,15/9/1981,East Asia & Pacific,Lower middle income,"Ni-Vanuatu, Vanuatuan",Ni-Vanuatu
Venezuela,ven,americas,america_south,america,g77,8,-66,15/11/1945,Latin America & Caribbean,Upper middle income,Venezuelan,Venezuelans
Palestine,pse,asia,asia_west,middle_east_north_africa,g77,31.92157,35.20329,,Middle East & North Africa,Lower middle income,Palestinian,Palestinians
Vietnam,vnm,asia,east_asia_pacific,east_asia_pacific,g77,16.16667,107.83333,20/9/1977,East Asia & Pacific,Lower middle income,Vietnamese,Vietnamese people
Yemen,yem,asia,asia_west,middle_east_north_africa,g77,15.5,47.5,30/9/1947,Middle East & North Africa,Lower middle income,Yemeni,Yemenis
Zambia,zmb,africa,africa_sub_saharan,sub_saharan_africa,g77,-14.33333,28.5,1/12/1964,Sub-Saharan Africa,Lower middle income,Zambian,Zambians
Zimbabwe,zwe,africa,africa_sub_saharan,sub_saharan_africa,g77,-19,29.75,25/8/1980,Sub-Saharan Africa,Low income,Zimbabwean,Zimbabweans
South Sudan,ssd,africa,africa_sub_saharan,sub_saharan_africa,,7.5,30,14/7/2011,Sub-Saharan Africa,Low income,South Sudanese,South Sudanese
